Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,163.7,-69.47,90,top
C2,100nF,C_0805_2012Metric,161.68,-69.49,90,top
C3,220pF,C_0805_2012Metric,122.29,-122.79833,0,top
C4,220pF,C_0805_2012Metric,126.09,-122.79833,0,top
C5,100nF,C_0805_2012Metric,159.63,-69.51,90,top
C6,100nF,C_0805_2012Metric,157.56,-69.53,90,top
C7,1.5nF,C_0805_2012Metric,121.57,-118.134998,90,top
C8,1.5nF,C_0805_2012Metric,126.81,-118.134998,90,top
C9,10uF,C_0805_2012Metric,155.44,-69.55,90,top
C10,220pF,C_0805_2012Metric,122.29,-111.671666,0,top
C11,220pF,C_0805_2012Metric,126.09,-111.671666,0,top
C12,100nF,C_0805_2012Metric,153.36,-69.55,90,top
C13,10uF,C_0805_2012Metric,149.16,-70.28,90,top
C14,100nF,C_0805_2012Metric,126.34,-57.76,-90,top
C15,100nF,C_0805_2012Metric,151.22,-70.3,90,top
C16,100nF,C_0805_2012Metric,143.48,-69.56,90,top
C17,100nF,C_0805_2012Metric,141.4,-69.59,90,top
C18,1.5nF,C_0805_2012Metric,123.386664,-106.3,90,top
C19,1.5nF,C_0805_2012Metric,113.14,-106.3,-90,top
C20,1.5nF,C_0805_2012Metric,125.54333,-106.3,90,top
C21,100nF,C_0805_2012Metric,137.16,-72.12,180,top
C22,1.5nF,C_0805_2012Metric,115.296666,-106.3,-90,top
C23,100nF,C_0805_2012Metric,137.16,-74.15,180,top
C24,100nF,C_0805_2012Metric,165.72,-69.47,90,top
C25,100nF,C_0805_2012Metric,137.17,-76.77,180,top
C26,100nF,C_0805_2012Metric,174.31,-79.73,0,top
C27,220pF,C_0805_2012Metric,133.79,-119.935,0,top
C28,100nF,C_0805_2012Metric,137.16,-81.27,180,top
C29,100nF,C_0805_2012Metric,174.31,-82.92,0,top
C30,100nF,C_0805_2012Metric,174.31,-85,0,top
C31,100nF,C_0805_2012Metric,132.11,-116.91,90,top
C32,100nF,C_0805_2012Metric,135.47,-116.91,90,top
C33,10uF,C_0805_2012Metric,137.16,-85.66,180,top
C34,100nF,C_0805_2012Metric,174.31,-87.1,0,top
C35,100nF,C_0805_2012Metric,137.16,-87.7,180,top
C36,100nF,C_0805_2012Metric,134.62,-110.99,90,top
C37,100nF,C_0805_2012Metric,174.31,-89.15,0,top
C38,100nF,C_0805_2012Metric,142.3,-110.12,0,top
C39,100nF,C_0805_2012Metric,166.079163,-96.55,-90,top
C40,100nF,C_0805_2012Metric,140.9,-96.55,-90,top
C41,100nF,C_0805_2012Metric,151.503332,-96.55,-90,top
C42,12pF,C_0805_2012Metric,142.990833,-96.55,-90,top
C43,100nF,C_0805_2012Metric,163.98833,-96.55,-90,top
C44,100nF,C_0805_2012Metric,155.624998,-96.55,-90,top
C45,100nF,C_0805_2012Metric,159.806664,-96.55,-90,top
C46,100nF,C_0805_2012Metric,161.897497,-96.55,-90,top
C47,12pF,C_0805_2012Metric,149.412499,-96.55,-90,top
C48,100nF,C_0805_2012Metric,157.715831,-96.55,-90,top
C49,100nF,C_0805_2012Metric,169.43,-48.26,0,top
C50,100nF,C_0805_2012Metric,91.48,-30.994,180,top
C51,100nF,C_0805_2012Metric,91.48,-22.87,180,top
C52,47uF,C_0805_2012Metric,91.48,-24.916,180,top
